url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-2603?page=228,,2603,,,,,,,,,,,,,,,CERASMART 270 14L A2 HT,06.012625,,,,151.06,,,,,,,,,
/shop/product/product-2602?page=228,,2602,,,,,,,,,,,,,,,CERASMART 270 14 A3 LT,06.012595,,,,139.1,,,,,,,,,
/shop/product/product-2601?page=228,,2601,,,,,,,,,,,,,,,CERASMART 270 12 B1 HT,06.012556,,,,127.55,,,,,,,,,
/shop/product/product-2600?page=228,,2600,,,,,,,,,,,,,,,RELINE II EXTRA SOFT INTRO KIT,06.010262,,,,316.85,,,,,,,,,
/shop/product/product-2598?page=228,,2598,,,,,,,,,,,,,,,CERASMART 270 14L A2 LT,06.012630,,,,151.06,,,,,,,,,
/shop/product/product-2597?page=228,,2597,,,,,,,,,,,,,,,CERASMART 14 A3.5 LT,06.012596,,,,139.1,,,,,,,,,
/shop/product/product-16363?page=1805,,16363,,,,,,,,,,,,,,,CONTRE ANGLE ENDO FX75M 16:1,36.C1055,,,,612.65,,,,,,,,,
/shop/product/product-16362?page=1805,,16362,,,,,,,,,,,,,,,CONTRE ANGLE 4:1 FX57 PROPHYLAXE,36.C1054,,,,560.5,,,,,,,,,
/shop/product/product-16361?page=1805,,16361,,,,,,,,,,,,,,,TETE EX BB-Y,36.C037,,,,161.7,,,,,,,,,
/shop/product/product-16360?page=1805,,16360,,,,,,,,,,,,,,,DUO CART COMPLET,36.2CARTCOMP,,,,NaN,,,,,,,,,
/shop/product/product-16359?page=1805,,16359,,,,,,,,,,,,,,,SET PP MIXING TIPS (WIDE),35.8810004,,,,19.36,,,,,,,,,
/shop/product/product-16358?page=1805,,16358,,,,,,,,,,,,,,,SET PP MIXING TIPS (REGULAR),35.8810003,,,,87.4,,,,,,,,,
/shop/product/product-16357?page=1805,,16357,,,,,,,,,,,,,,,SET ASSORTED KT,35.8810000,,,,406.3,,,,,,,,,
/shop/product/product-16355?page=1805,,16355,,,,,,,,,,,,,,,RIVA STAR KT 8800505,35.8800501,,,,109.25,,,,,,,,,
/shop/product/product-16353?page=1805,,16353,,,,,,,,,,,,,,,SET TRANSLUCENT 50 COMPULES,35.8805005,,,,406.3,,,,,,,,,
/shop/product/product-16352?page=1805,,16352,,,,,,,,,,,,,,,SET WHT/OPQ 50 COMPULES,35.8805004,,,,406.3,,,,,,,,,
/shop/product/product-16351?page=1805,,16351,,,,,,,,,,,,,,,SET A1 50 COMPULES,35.8805001,,,,406.3,,,,,,,,,
/shop/product/product-16350?page=1805,,16350,,,,,,,,,,,,,,,RIVA BOND LC LIQUIDE,35.8800612,,,,50.15,,,,,,,,,
/shop/product/product-19907?page=620,,19907,,,,,,,,,,,,,,,STRIPS TRANS DROIT 10MM,44.0692,,,,9.46,,,,,,,,,
/shop/product/product-19906?page=620,,19906,,,,,,,,,,,,,,,STRIPROLL 8MM,44.0686,,,,15.5,12.95,1,12.95,3,11.75,,,,
/shop/product/product-19905?page=620,,19905,,,,,,,,,,,,,,,STRIPROLL 6MM,44.0685,,,,15.5,12.95,1,12.95,3,11.75,,,,
/shop/product/product-19902?page=620,,19902,,,,,,,,,,,,,,,STOPSTRIP DROIT 8MM,44.0641,,,,23.3,,,,,,,,,
/shop/product/product-19894?page=620,,19894,,,,,,,,,,,,,,,BROSSETTES A POLIR NYLON 10 PCS,44.0835,,,,23.3,18.84,,,,,,,,
/shop/product/product-19884?page=620,,19884,,,,,,,,,,,,,,,STOPSTRIP DROIT 10MM,44.0642,,,,23.3,,,,,,,,,
/shop/product/product-19880?page=620,,19880,,,,,,,,,,,,,,,MATRICES CERVICALES TRANSPARENT SOFT,44.0851S,,,,61.2,,,,,,,,,
/shop/product/product-19875?page=620,,19875,,,,,,,,,,,,,,,STRIPROLL 10MM,44.0687,,,,15.5,12.95,1,12.95,3,11.75,,,,
/shop/product/product-19874?page=620,,19874,,,,,,,,,,,,,,,STOPSTRIP COURBE 8MM,44.0651,,,,18.95,,,,,,,,,
/shop/product/product-19872?page=620,,19872,,,,,,,,,,,,,,,MATRICES CERVICALES TRANSPARENT SOFT,44.0852S,,,,61.2,,,,,,,,,
/shop/product/product-19870?page=620,,19870,,,,,,,,,,,,,,,LUCIWEDGE SOFT SMALL REF 771S,44.0771S,,,,67.36,,,,,,,,,
/shop/product/product-19869?page=620,,19869,,,,,,,,,,,,,,,STOPSTRIP COURBE 10MM 100PCS,44.0652,,,,22,,,,,,,,,
/shop/product/product-20049?page=1606,,20049,,,,,,,,,,,,,,,CLICK PROBE 3/5/7/10 3PCS.,44.1395,,,,171.76,,,,,,,,,
/shop/product/product-20045?page=1606,,20045,,,,,,,,,,,,,,,FRAISES 1158 FG BULK 100PCS.,44.1158FG/100,,,,412.55,,,,,,,,,
/shop/product/product-20044?page=1606,,20044,,,,,,,,,,,,,,,MATRICES TOFFLEMIRE 0.035 MM 12PCS 1113,44.1113,,,,3.16,,,,,,,,,
/shop/product/product-20040?page=1606,,20040,,,,,,,,,,,,,,,SUPER BITE POSTERIOR CENTERING DIVICE,44.1024,,,,129.65,,,,,,,,,
/shop/product/product-20039?page=1606,,20039,,,,,,,,,,,,,,,MATRICES TOFFLEMIRE 0.05MM 12 PCS,44.1015,,,,3.16,,,,,,,,,
